product_id,category,coverage,fill,contrast,garment_pixels,name,note
MS5436451,bottom,0.0777,0.701,135.4,61091,캡소매 니트 셔츠 원피스,
MS6810202,bottom,0.0777,0.8182,63.0,61095,아일렛 롱 스커트  화이트,
MS7068125,bottom,0.0793,0.743,32.0,62331,에어리 시어 볼륨 스커트 EMQ7WSK040,
MS5372427,bottom,0.0834,0.8234,165.7,65595,여성 와이드 레그핏 미드 블루 데님 47D848G 2J6,
MS6371839,bottom,0.0845,0.4623,81.0,66479,90’s Satin Midi Skirt_Silver Gray,
MS5504965,bottom,0.0848,0.7567,120.7,66718,[한소희 PICK] 우먼즈 마이크로 데님 쇼츠 [라이트 인디고],
MS6837218,bottom,0.085,0.8543,198.2,66855,CHAMBRAY EASY PANTS [BLUE],
MS7020187,bottom,0.0885,0.8305,208.9,69636,루즈 와이드 웨일 데님 팬츠_BLACK,
MS7068568,bottom,0.0902,0.8036,212.6,70914,PM_Ruffle hem midi skirt,
MS7081927,bottom,0.0905,0.7678,45.7,71177,썸머 스웻 와이드 팬츠,
MS7068278,bottom,0.0913,0.7464,225.2,71802,페이크 레더 뷔스티에 원피스 EMQ8WOP030,
MS6686218,bottom,0.0914,0.7241,230.6,71852,클럽 쇼츠 M - 블랙:팬텀 / IQ9661-010,
MS7020366,bottom,0.0915,0.7842,195.8,71988,루즈 스트레이트 인브러쉬 데님 팬츠_MUD GREY,
MS7035348,bottom,0.0975,0.6195,222.8,76638,SUE WRAPPED SHIRT ASYMMETRIC SKIRT (BLACK),
MS6781115,bottom,0.098,0.821,212.3,77052,클럽 쇼츠 M - 퍼:팬텀 / IQ9661-323,
MS7035347,bottom,0.0997,0.6698,191.9,78398,DENIM COMBINATION SHIRT PATCHWORK SKIRT (MULTI),
MS7068564,bottom,0.1024,0.8153,132.1,80511,PM_Flowy midi skirt,
MS858911,bottom,0.104,0.7407,141.0,81750,와이드 데님 팬츠 (LIGHT BLUE),
MS7051098,bottom,0.1046,0.627,222.1,82273,저지 배색 카고 스커트  블랙,
MS6501089,bottom,0.1053,0.7031,207.9,82837,Coating Leather Pants,
MS6844107,bottom,0.1061,0.814,46.9,83447,프릴 시어 풀스커트  화이트,
MS5678965,bottom,0.1066,0.5952,232.4,83870,[150/160.ver] LONG SKIRT.006 -1color/2size,
MS7068115,bottom,0.11,0.7414,92.4,86541,언밸런스 랩 디테일 스커트 EMQ6WSK080,
MS7051094,bottom,0.1103,0.7258,78.5,86757,저지 배색 카고 스커트  라이트 그레이,
MS4258827,bottom,0.1113,0.8923,181.4,87554,[여름용] 베이직 라인 나일론 스트링 팬츠 (그레이),
MS3144417,bottom,0.1116,0.7545,195.4,87730,튤립 팬츠 스커트(블랙),
MS7051088,bottom,0.1119,0.8515,185.6,87982,스터드 저지 스커트  애쉬,
MS5969258,bottom,0.1131,0.5037,214.4,88907,Lovely frill long skirt NAVY,
MS6844040,bottom,0.1137,0.5579,216.7,89441,데님 슬리브리스 원피스  네이비,
MS7074665,bottom,0.1156,0.6731,183.9,90915,로즈 벌룬 미니 드레스_블랙,
MS6300859,bottom,0.1171,0.775,204.5,92060,걸리쉬 체크 레이어드 원피스 [네이비],
MS6686255,bottom,0.1176,0.8059,217.8,92521,클럽 니트 쇼츠 M - 옵시디언:화이트 / FQ4361-451,
MS7073397,bottom,0.1186,0.7224,233.5,93257,플리츠 올인원 스커트 (2colors),
MS4687212,bottom,0.1192,0.8649,222.2,93720,우먼즈 레이어드 미니 스코츠 [차콜 그레이],
MS4720624,bottom,0.1206,0.5783,230.5,94861,세피 마이크로 쇼츠 (4컬러),
MS7068118,bottom,0.1232,0.7944,31.1,96893,밴딩 스트랩 롱 스커트 EMQ7WSK200,
MS3757208,bottom,0.1233,0.813,34.0,96984,우먼즈 나일론 밴딩 쇼츠 [화이트],
MS6890040,bottom,0.125,0.8823,124.8,98277,스튜디오 플리스 라이트웨이트 미드라이즈 쇼츠 W - 다크 그레이 헤더:세일 / IM8541-063,
MS4154987,bottom,0.1278,0.6744,228.3,100471,블룸 오브 조이 아노락 원피스_42ON1801,
MS7068280,bottom,0.1278,0.679,32.5,100479,V넥 스트링 슬리브리스 롱 원피스 EMQ7WOP200,
MS7051084,bottom,0.1299,0.5715,223.7,102152,[올데이 크리즈] 머메이드 맥시 스커트  네이비,
MS7051081,bottom,0.1303,0.7626,210.9,102495,데님 롱스커트  블루,
MS6890039,bottom,0.1326,0.831,227.2,104283,스튜디오 플리스 라이트웨이트 미드라이즈 쇼츠 W - 토탈 블랙:세일 / IM8541-001,
MS7080991,bottom,0.1348,0.5093,203.7,106008,26FW 레이스 트랙 팬츠,
MS7056310,bottom,0.1375,0.8061,188.9,108125,무브 투인원 쇼츠/브라운,
MS7056291,bottom,0.1378,0.8102,143.0,108344,무브 투인원 쇼츠/카키,
MS7081613,bottom,0.1385,0.6857,211.9,108954,데이드리프트 하이라이즈 트라우저 *레귤러  MAMU,
MS5051842,bottom,0.1389,0.6127,240.2,109272,Dart Back Ribbon Dress [Black],
MS6843694,top,0.1391,0.6481,247.0,109422,보트넥 립 슬리브리스  블랙,
MS7056318,bottom,0.1424,0.832,221.7,111968,무브 투인원 쇼츠/블랙,
MS6716212,top,0.144,0.6259,51.4,113238,Stud Bodysuit Sleeveless (white),
MS6941805,bottom,0.1452,0.6504,103.1,114215,Vintage Check Ribbon Cami Mini Dress (LIGHT GRAY),
MS6797005,top,0.1456,0.5873,56.0,114539,Days Comfort Fit Shirt_White,
MS1466442,bottom,0.147,0.7318,13.5,115616,베이직 스웨트 쇼츠 오프화이트,
MS6652169,top,0.1474,0.6297,26.1,115914,레이스 새틴 뷔스티에_MIWBNG717G,
MS7076701,bottom,0.1474,0.6314,57.4,115896,jacquard mini dress pink,
MS5698186,bottom,0.1511,0.6868,31.2,118803,[언바운드 걸] 우먼즈 플리츠 미니 드레스 [화이트],
MS6355547,bottom,0.1547,0.5449,91.8,121682,[22차]에즈온 시어 레이어드 스커트_Ezon Skirt_4colors,
MS4118673,top,0.1553,0.6732,131.0,122149,시어서커 썸머 체크 셔츠 [LE05 그레이],
MS5059231,bottom,0.1556,0.7328,221.7,122388,반소매 데님 롱원피스  네이비,
MS5991125,bottom,0.1588,0.7776,236.3,124861,프릴 레이어드 원피스_MIWOWG309C,
MS6844030,bottom,0.1611,0.6046,56.6,126726,캡슬리브 미니 원피스  화이트,
MS7076757,bottom,0.1623,0.6886,30.5,127648,jacquard mini dress white,
MS7081515,bottom,0.1643,0.7228,89.7,129231,(여성) Boots Cut Pants G5PAW26002BEX,
MS6716203,top,0.1653,0.5981,122.5,129964,Stud Bodysuit Sleeveless (beige),
MS6918916,bottom,0.1686,0.69,44.6,132590,스튜디오 플리스 라이트웨이트 프렌치 테리 오버사이즈 하이라이즈 쇼츠 W - 세일:블랙 / IV4767-133,
MS7081145,bottom,0.17,0.7293,220.4,133699,(남성) Warm-Up Cargo Pants G4PAW26004BKX,
MS7068556,bottom,0.1728,0.6871,74.7,135879,PM_Square neck lace dress,
MS6980156,top,0.181,0.4133,228.1,142319,Signature V-neck Knit (brown),
MS6885251,bottom,0.1815,0.735,237.5,142773,Vintage distressed raw jean,
MS6843889,top,0.1852,0.6467,118.7,145660,슬림핏 스트라이프 셔츠  라이트 그레이,
MS6403675,bottom,0.1862,0.6092,139.4,146441,도트 포켓 롱원피스_화이트,
MS7068553,bottom,0.1946,0.5388,163.6,153034,PM_Vintage print peplum dress,
MS6182661,bottom,0.1955,0.6137,231.0,153744,핏티드 셔링 롱 원피스 [BLACK] / GF1LOP506,
MS6435953,bottom,0.1966,0.5872,44.8,154630,사이드스트링 나일론 원피스 AS2WO460,
MS7081498,bottom,0.1981,0.8214,48.1,155812,(여성) Jersey Easy Pants (SET UP) G5PAW26004BEX,
MS5698179,bottom,0.2035,0.4321,220.3,160027,우먼즈 로 웨이스트 니 렝스 스커트 [블랙],
MS7074550,bottom,0.2043,0.5962,47.4,160649,로즈 벌룬 미니 드레스_아이보리,
MS6999915,bottom,0.2105,0.6299,134.8,165569,로젠 폴딩 레이스 훌 미디 스커트_그레이,
MS7008856,bottom,0.2108,0.6777,71.9,165750,[Disney] 밤비 잔패턴 와이드 데님  화이트,
MS6979825,top,0.216,0.5836,159.1,169896,Lace Shirring Top (gray),
MS6365348,bottom,0.2191,0.584,74.2,172270,LAYERED DRESS DUO - WHITE,
MS6979745,top,0.2198,0.5126,101.8,172889,Extended Strap Top (white),
MS7072827,bottom,0.2229,0.6416,236.8,175304,DVP081_M111 컴포트 스트레치 나일론 밴딩 카고 조거,
MS7051028,bottom,0.2233,0.7676,230.7,175647,소프트 텍스처 캉캉이 긴팔 미니 원피스  블랙,
MS6979730,top,0.2268,0.5341,156.8,178357,Extended Strap Top (khaki),
MS6374709,bottom,0.2281,0.7596,184.2,179378,빈티지워싱 카고 버뮤다팬츠_KHAKI,
MS3442344,bottom,0.2313,0.6599,65.1,181935,로맨티크 롱원피스,
MS7044337,bottom,0.2316,0.794,178.2,182127,Denim Mini Skirt_Blue,
MS6986885,bottom,0.2316,0.8005,134.8,182123,PAISLEY SUEDE MINI SKIRT LIGHT BLUE,
MS7068559,bottom,0.2326,0.6563,97.8,182898,PM_Floral ruffle midi dress,
MS7051086,bottom,0.2374,0.6905,76.5,186723,샤 미디 스커트  화이트,
MS6986887,bottom,0.2382,0.8316,154.8,187292,DOT SUEDE MINI SKIRT PURPLE,
MS6980145,top,0.2383,0.5774,238.1,187389,Signature V-neck Knit (black),
MS7079131,bottom,0.2394,0.6625,58.2,188239,WD_Patchwork chiffon skirt,
MS6479372,bottom,0.247,0.7044,76.8,194219,사틴 미니 스커트 RE WHG52NS_MIWWHG546G,
MS6633896,bottom,0.2471,0.4606,36.4,194333,플로럴 캡 슬리브 미니 원피스 [WHITE] / GF2LOP522,
MS6859762,bottom,0.2475,0.6271,204.4,194625,리조트 S 드레스 KX0725,
MS6140472,bottom,0.2509,0.6792,220.8,197319,레이스 슬리브리스 롱 원피스 [BLACK] / GF2LOP505,
MS6875797,bottom,0.254,0.7762,158.4,199788,유어 메시지 히어 인디고 진 M - 블루 데님:블랙:세이프티 오렌지 / IO1657-485,
MS5977745,bottom,0.2549,0.615,70.0,200468,Floral Lace Slim Long Dress [Ivory],
MS6333977,bottom,0.2552,0.5505,112.2,200706,체크 미니 원피스 GREY,
MS5622133,bottom,0.2555,0.5996,91.8,200942,포포 리버시블 미니 원피스,
MS6970678,bottom,0.2567,0.5255,87.7,201894,RL LAYERED MINI SKIRT(GRAY),
MS6135743,bottom,0.2587,0.751,92.3,203452,레이스 라운드넥 반팔 원피스(MAGBOP10MWH),
MS6896595,top,0.2677,0.6702,93.7,210528,체크 라운드칼라 블라우스  와인,
MS4624162,bottom,0.2688,0.6786,217.1,211355,우먼즈 코튼 티어드 미니 드레스 [블랙],
MS6809274,bottom,0.2703,0.5279,44.5,212590,플로우 언발란스 미니원피스,
MS7080970,bottom,0.2735,0.4896,153.2,215100,26FW 롱 체크 랩스커트,
MS7080554,bottom,0.2735,0.6822,113.5,215076,Iris Lace Layer Skirt - Grey,
MS5698181,bottom,0.2742,0.6447,225.5,215622,우먼즈 포멀 미니 드레스 [블랙],
MS7068562,bottom,0.2748,0.5318,198.2,216133,PM_Lace trim tiered dress,
MS7039817,bottom,0.2766,0.8178,135.0,217510,플루이드 펜슬 미니스커트,
MS6970679,bottom,0.2794,0.5846,224.4,219718,RL LAYERED MINI SKIRT(BLACK),
MS6979779,top,0.2816,0.5221,236.6,221450,Lace Shirring Top (black),
MS6979721,top,0.2817,0.478,233.2,221545,Extended Strap Top (black),
MS6459880,bottom,0.283,0.6435,31.9,222522,Lace Shirring Button Flare Dress [Ivory],
MS6918915,bottom,0.2831,0.6274,100.7,222614,스튜디오 플리스 라이트웨이트 오버사이즈 하이라이즈 커프스 팬츠 W - 다크 그레이 헤더:세일 / IM8512-063,
MS6262142,bottom,0.2837,0.3814,210.5,223120,스트라이프 퍼프 슬리브 원피스 [차콜 ST],
MS6370721,top,0.2857,0.6634,115.2,224660,소셜 휴먼 티셔츠 : 2컬러,
MS6979927,bottom,0.2866,0.6269,70.0,225367,스튜디오 플리스 라이트웨이트 프렌치 테리 미드라이즈 트랙 팬츠 W - 세일:크림 II / IV4778-133,
MS6980168,top,0.2867,0.5067,127.2,225455,Signature V-neck Knit (melange),
MS7076544,bottom,0.2888,0.8133,85.9,227119,cotton veil skirt pale green,
MS6918918,bottom,0.2958,0.6954,129.9,232649,스튜디오 플리스 라이트웨이트 프렌치 테리 미드라이즈 와이드 레그 팬츠 W - 다크 그레이 헤더:세일 / IV4774-063,
MS4092647,bottom,0.2961,0.6044,220.8,232839,쥬니 리본 자수 스퀘어 원피스,
MS6744815,top,0.2993,0.6803,217.2,235408,스포츠웨어 오버사이즈 저지 W - 블랙:화이트 / IQ6138-010,
MS6918909,bottom,0.3007,0.604,111.0,236470,스튜디오 플리스 미디엄 웨이트 하이라이즈 오버사이즈 커프스 팬츠 W - 다크 그레이 헤더:세일 / IM8075-063,
MS6461305,bottom,0.3023,0.6462,180.1,237705,SLEEVELESS WRAP DRESS IN KHAKI,
